timestamp,symbol,action,strength,composite,ema,imbalance,momentum,bayesian,large_orders,frequency,vol_confirm,ohara_score,mtf_convergence,mtf_score,reason,accepted
2025-12-16 20:15:48,ADAUSDT,HOLD,0,-0.003,-0.033,4.8,-1.2,BULLISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:49,DOGEUSDT,HOLD,0,0.526,0.224,75.2,-32.9,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:50,AVAXUSDT,HOLD,0,0.554,0.310,19.9,25.7,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:50,TRXUSDT,HOLD,0,0.061,0.065,-9.2,19.1,NEUTRAL,STRONG_BUY,VERY_LOW,NEUTRAL,4,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:50,AAVEUSDT,HOLD,0,0.330,0.140,5.1,10.9,BEARISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:52,STRKUSDT,HOLD,0,-0.094,-0.048,-5.0,-18.6,NEUTRAL,STRONG_SELL,NORMAL,NEUTRAL,5,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:56,BTCUSDT,HOLD,0,0.065,0.092,10.8,-30.5,NEUTRAL,NEUTRAL,NORMAL,NEUTRAL,2,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:57,ETHUSDT,HOLD,0,-0.141,-0.140,3.4,18.9,BULLISH,MEDIUM_SELL,NORMAL,NEUTRAL,6,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:57,BNBUSDT,HOLD,0,0.106,0.025,2.6,28.4,BULLISH,STRONG_SELL,NORMAL,NEUTRAL,8,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:58,SOLUSDT,HOLD,0,0.326,0.172,2.5,-5.7,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:58,ADAUSDT,HOLD,0,-0.042,-0.036,4.7,-18.7,BULLISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:58,DOGEUSDT,HOLD,0,1.000,0.515,15.1,309.3,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.50,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:59,AVAXUSDT,HOLD,0,0.257,0.290,11.7,20.8,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:59,TRXUSDT,HOLD,0,0.078,0.070,5.3,17.5,NEUTRAL,STRONG_BUY,VERY_LOW,NEUTRAL,3,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:16:00,AAVEUSDT,HOLD,0,0.143,0.141,8.7,8.1,BEARISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
